"ID","Symbol","Security","Wikipedia_URL","Intro"
"11","APD","Air Products","https://en.wikipedia.org/wiki/Air_Products","Air Products and Chemicals, Inc. is a U.S.-based international corporation whose principal business is selling gases and chemicals for industrial use. Air Products is headquartered in Trexlertown, Pennsylvania, in the Lehigh Valley region of eastern Pennsylvania."
"12","ABNB","Airbnb","https://en.wikipedia.org/wiki/Airbnb","Airbnb, Inc. is an American company operating an online marketplace for short-and-long-term homestays, experiences and services in various countries and regions. It acts as a broker and charges a commission from each booking. Airbnb was founded in 2008 by Brian Chesky, Nathan Blecharczyk, and Joe Gebbia."
"13","AKAM","Akamai Technologies","https://en.wikipedia.org/wiki/Akamai_Technologies","Akamai Technologies, Inc. is an American company specialized in content delivery network (CDN), cybersecurity, DDoS mitigation, and cloud services. It is headquartered in Cambridge, Massachusetts."
"14","ALB","Albemarle Corporation","https://en.wikipedia.org/wiki/Albemarle_Corporation","Albemarle Corporation is an American specialty chemicals manufacturing company based in Charlotte, North Carolina. It serves several different industries including Agriculture/Food, Automotive/EV, Aviation/Aerospace, Building/Construction, Conventional Energy, Electronics, Grid Storage, and Industrial Processes. The company reported over $5.4 Billion in revenue in 2024."
"15","ARE","Alexandria Real Estate Equities","https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities","Alexandria Real Estate Equities, Inc. is a real estate investment trust based in Pasadena, California that invests in office buildings and laboratories leased to tenants in the life science and technology industries. Properties are generally located near universities to attract tenants. The company owns several major technology/biotechnology office campuses including the 740,972 square foot Alexandria Center for Life Science in Manhattan, and the 2,365,487 square foot Alexandria Center at Kendall Square and the 1,181,635 square foot Technology Square in the Boston area."
"16","ALGN","Align Technology","https://en.wikipedia.org/wiki/Align_Technology","Align Technology, Inc. is an American manufacturer of 3D digital scanners and Invisalign clear aligners used in orthodontics and restorative workflow. It was founded in 1997 and is headquartered in Tempe, Arizona. The company manufactures the aligners in Juarez, Mexico, and its scanners in Israel and China. The company is best known for its Invisalign system, which is a clear aligner treatment used to straighten teeth."
"17","ALLE","Allegion","https://en.wikipedia.org/wiki/Allegion","Allegion plc is an American Irish-domiciled provider of security products for homes and businesses."
"18","LNT","Alliant Energy","https://en.wikipedia.org/wiki/Alliant_Energy","Alliant Energy Corporation is a public utility holding company headquartered in Madison, Wisconsin, providing power in Iowa and Wisconsin."
"19","ALL","Allstate","https://en.wikipedia.org/wiki/Allstate","The Allstate Corporation is an American insurance company, headquartered in Glenview, Illinois since 2022. Founded in 1931 as part of Sears, Roebuck and Co., it was spun off in 1993, but was still partially owned by Sears until it became an independent company completely in June 1995. The company also has personal line insurance operations in Canada."
"20","GOOGL","Alphabet Inc. (Class A)","https://en.wikipedia.org/wiki/Alphabet_Inc.","Alphabet Inc. is an American multinational technology conglomerate holding company headquartered in Mountain View, California. Alphabet is the world's third-largest technology company by revenue, after Amazon and Apple, the largest technology company by profit, and one of the world's most valuable companies. It was created through a restructuring of Google on October 2, 2015, and became the parent holding company of Google and several former Google subsidiaries. Alphabet is listed on the large-cap section of the Nasdaq under the ticker symbols GOOGL and GOOG; both classes of stock are components of major stock market indices such as the S&P 500 and Nasdaq-100. Alphabet is considered part of the Big Tech group, alongside Nvidia, Microsoft, Apple, Amazon, and Meta."
"21","GOOG","Alphabet Inc. (Class C)","https://en.wikipedia.org/wiki/Alphabet_Inc.","Alphabet Inc. is an American multinational technology conglomerate holding company headquartered in Mountain View, California. Alphabet is the world's third-largest technology company by revenue, after Amazon and Apple, the largest technology company by profit, and one of the world's most valuable companies. It was created through a restructuring of Google on October 2, 2015, and became the parent holding company of Google and several former Google subsidiaries. Alphabet is listed on the large-cap section of the Nasdaq under the ticker symbols GOOGL and GOOG; both classes of stock are components of major stock market indices such as the S&P 500 and Nasdaq-100. Alphabet is considered part of the Big Tech group, alongside Nvidia, Microsoft, Apple, Amazon, and Meta."
"22","MO","Altria","https://en.wikipedia.org/wiki/Altria","Altria Group, Inc. is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes, and medical products in the treatment of illnesses caused by tobacco. It operates worldwide and is headquartered in the city of Richmond, Virginia."
"23","AMZN","Amazon","https://en.wikipedia.org/wiki/Amazon_(company)","Amazon.com, Inc., doing business as Amazon, is an American multinational technology company engaged in e-commerce, cloud computing, online advertising, digital streaming, and artificial intelligence. Founded in 1994 by Jeff Bezos in Bellevue, Washington, the company originally started as an online marketplace for books, but gradually expanded its offerings to include a wide range of product categories, referred to as ""The Everything Store"". Amazon is considered part of the Big Tech group, alongside Nvidia, Microsoft, Apple, Alphabet, and Meta."
"24","AMCR","Amcor","https://en.wikipedia.org/wiki/Amcor","Amcor plc is an Australian-founded Jersey-domiciled global packaging company based in Switzerland. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products."
"25","AEE","Ameren","https://en.wikipedia.org/wiki/Ameren","Ameren Corporation is an American power company created December 31, 1997, by the merger of Union Electric Company of St. Louis, Missouri and the neighboring Central Illinois Public Service Company of Springfield, Illinois. It is now a holding company for several power companies and energy companies. The company is based in St. Louis, with 2.4 million electric, and 900,000 natural gas customers across 64,000 square miles in central and eastern Missouri and the southern four-fifths of Illinois by area."
"26","AEP","American Electric Power","https://en.wikipedia.org/wiki/American_Electric_Power","American Electric Power Company, Inc. is an American domestic electric utility company in the United States. It is one of the largest electric utility companies in the country, with more than five million customers in 11 states."
"27","AXP","American Express","https://en.wikipedia.org/wiki/American_Express","American Express Company or Amex is an American bank holding company and multinational financial services corporation that specializes in payment cards. It is headquartered at 200 Vesey Street, also known as American Express Tower, in the Battery Park City neighborhood of Lower Manhattan."
"28","AIG","American International Group","https://en.wikipedia.org/wiki/American_International_Group","American International Group, Inc. (AIG) is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of 2023, AIG employed 25,200 people. The company operates through three core businesses: general insurance, life & retirement, and a standalone technology-enabled subsidiary. General Insurance includes Commercial, Personal Insurance, U.S. and International field operations. Life & Retirement includes Group Retirement, Individual Retirement, Life, and Institutional Markets.
AIG is the title sponsor of the AIG Women's Open golf tournament. In 2023, for the sixth consecutive year, DiversityInc named AIG among the Top 50 Companies for Diversity list."
"29","AMT","American Tower","https://en.wikipedia.org/wiki/American_Tower","American Tower Corporation is an American real estate investment trust which owns, develops and operates wireless and broadcast communications infrastructure in several countries. It is headquartered in Boston, Massachusetts."
"30","AWK","American Water Works","https://en.wikipedia.org/wiki/American_Water_Works","American Water is an American public utility company that, through its subsidiaries, provides water and wastewater services in the United States."
"31","AMP","Ameriprise Financial","https://en.wikipedia.org/wiki/Ameriprise_Financial","Ameriprise Financial, Inc. is an American diversified financial services company and bank holding company based in Minneapolis, Minnesota. It provides financial planning products and services, including wealth management, asset management, insurance, annuities, and estate planning."
"32","AME","Ametek","https://en.wikipedia.org/wiki/Ametek","AMETEK, Inc. is an American multinational conglomerate and global designer and manufacturer of electronic instruments and electromechanical devices with headquarters in the United States and over 150 sites worldwide."
"33","AMGN","Amgen","https://en.wikipedia.org/wiki/Amgen","Amgen Inc. is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. The company is ranked 18th on the list of largest biomedical companies by revenue. The name ""AMGen"" is a portmanteau of the company's original name, Applied Molecular Genetics."
"34","APH","Amphenol","https://en.wikipedia.org/wiki/Amphenol","Amphenol Corporation is an American producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp."
"35","ADI","Analog Devices","https://en.wikipedia.org/wiki/Analog_Devices","Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing, and power management technology, headquartered in Wilmington, Massachusetts."
"36","AON","Aon plc","https://en.wikipedia.org/wiki/Aon_(company)","Aon plc is a British-American professional services firm. The company operates two divisions: Risk Capital, which provides brokerage and consulting services for risk management and insurance and reinsurance, and Human Capital, which provides services for health insurance, retirement plans, pension plans, and talent advisory."
"37","APA","APA Corporation","https://en.wikipedia.org/wiki/APA_Corporation","APA Corporation is the holding company for Apache Corporation, an American company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston. The company is ranked 431st on the Fortune 500."
"38","APO","Apollo Global Management","https://en.wikipedia.org/wiki/Apollo_Global_Management","Apollo Global Management, Inc. is an American asset management firm that primarily invests in alternative assets. As of 2025, the company had $840 billion of assets under management, including $392 billion invested in credit, including mezzanine capital, hedge funds, non-performing loans, and collateralized loan obligations, $99 billion invested in private equity, and $46.2 billion invested in real assets, which includes real estate and infrastructure. The company invests money on behalf of pension funds, financial endowments, and sovereign wealth funds, as well as other institutional and individual investors."
"39","AAPL","Apple Inc.","https://en.wikipedia.org/wiki/Apple_Inc.","Apple Inc. is an American multinational technology company headquartered in Cupertino, California, in Silicon Valley, best known for its consumer electronics, software and online services. Founded in 1976 as Apple Computer Company by Steve Jobs, Steve Wozniak and Ronald Wayne, the company was incorporated by Jobs and Wozniak as Apple Computer, Inc. the following year. It was renamed to its current name in 2007 as the company had expanded its focus from computers to consumer electronics. Apple is considered part of the Big Tech group, alongside Nvidia, Microsoft, Alphabet, Amazon, and Meta."
"40","AMAT","Applied Materials","https://en.wikipedia.org/wiki/Applied_Materials","Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor chips for electronics, flat panel displays for computers, smartphones, televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, and is the second largest supplier of semiconductor equipment in the world based on revenue behind Dutch company ASML."
"41","APP","AppLovin","https://en.wikipedia.org/wiki/AppLovin","AppLovin Corporation is an American mobile technology company headquartered in Palo Alto, California. Founded in 2012, the company helps developers market, monetize, analyze and publish their apps through its mobile advertising, marketing, and analytics platforms MAX, AppDiscovery, and SparkLabs. AppLovin also has large investments in various mobile game publishers. In 2020, 49% of AppLovin's revenue came from businesses using its software and 51% from consumers making in-app purchases."
"42","APTV","Aptiv","https://en.wikipedia.org/wiki/Aptiv","Aptiv PLC is an American automotive technology supplier with headquarters in Schaffhausen, Switzerland. Aptiv grew out of the now-defunct American company, Delphi Automotive Systems, which itself was formerly a component of General Motors."
"43","ACGL","Arch Capital Group","https://en.wikipedia.org/wiki/Arch_Capital_Group","Arch Capital Group Ltd. is a Bermuda exempted public company which writes insurance, reinsurance and mortgage insurance on a worldwide basis, with a focus on specialty lines, the segment of the insurance industry where the more difficult and unusual risks are written. The company is headquartered in Bermuda and operates globally in 60 offices in North America, Europe, Asia and Australia."
"44","ADM","Archer Daniels Midland","https://en.wikipedia.org/wiki/Archer_Daniels_Midland","The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide."
"45","ANET","Arista Networks","https://en.wikipedia.org/wiki/Arista_Networks","Arista Networks, Inc. is an American computer networking company headquartered in Santa Clara, California. The company designs and sells multilayer network switches to deliver software-defined networking (SDN) for large datacenter, cloud computing, high-performance computing, and high-frequency trading environments. These products include 10/25/40/50/100/200/400/800 gigabit low-latency cut-through Ethernet switches. Arista's Linux-based network operating system, Extensible Operating System (EOS), runs on all Arista products."
"46","AJG","Arthur J. Gallagher & Co.","https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.","Arthur J. Gallagher & Co. (Gallagher) is an insurance brokerage and risk management services company based in Rolling Meadows, Illinois, a suburb of Chicago. The company provides insurance brokerage and risk management services, which primarily includes processing of workers compensation and automobile insurance claims via the company's adjusters."
"47","AIZ","Assurant","https://en.wikipedia.org/wiki/Assurant","Assurant, Inc. is a global provider of risk management products and services with headquarters in Atlanta. Its businesses provide a diverse set of specialty, niche-market insurance products in the property, casualty, extended device protection, and preneed insurance sectors. The company's main operating segments are Global Housing and Global Lifestyle."
"48","T","AT&T","https://en.wikipedia.org/wiki/AT%26T","AT&T Inc., an abbreviation for its predecessor's former name, the American Telephone and Telegraph Company, is an American multinational telecommunications holding company headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's third largest telecommunications company by revenue and the third largest wireless carrier in the United States behind T-Mobile and Verizon. As of 2023, AT&T was ranked 32nd on the Fortune 500 rankings of the largest United States corporations, with revenues of $122.4 billion."
"49","ATO","Atmos Energy","https://en.wikipedia.org/wiki/Atmos_Energy","Atmos Energy Corporation, headquartered in Dallas, Texas, is one of the United States' largest natural-gas-only distributors, serving about three million natural gas distribution customers in over 1,400 communities in nine states from the Blue Ridge Mountains in the East to the Rocky Mountains in the West."
"50","ADSK","Autodesk","https://en.wikipedia.org/wiki/Autodesk","Autodesk, Inc. is an American multinational software corporation that provides software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Francisco, California, and has offices worldwide. Its U.S. offices are located in the states of California, Oregon, Colorado, Texas, Michigan, New Hampshire and Massachusetts. Its Canadian offices are located in the provinces of Ontario, Quebec, Alberta, and British Columbia."
"51","ADP","Automatic Data Processing","https://en.wikipedia.org/wiki/ADP_(company)","Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services, headquartered in Roseland, New Jersey."
"52","AZO","AutoZone","https://en.wikipedia.org/wiki/AutoZone","AutoZone, Inc., doing business as AutoZone, is an American retailer of aftermarket automotive parts and accessories, the largest in the United States. Founded in 1979, AutoZone has 7,140 stores across the United States, Mexico, Puerto Rico, Brazil, and the US Virgin Islands. The company is based in Memphis, Tennessee."
"53","AVB","AvalonBay Communities","https://en.wikipedia.org/wiki/AvalonBay_Communities","AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments."
"54","AVY","Avery Dennison","https://en.wikipedia.org/wiki/Avery_Dennison","Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials, apparel branding labels and tags, RFID inlays, and specialty medical products. The company is a member of the Fortune 500 and is headquartered in Mentor, Ohio."
"55","AXON","Axon Enterprise","https://en.wikipedia.org/wiki/Axon_Enterprise","Axon Enterprise, Inc. is an American company based in Scottsdale, Arizona, that develops weapons and technology products for military, law enforcement, and civilians."
"56","BKR","Baker Hughes","https://en.wikipedia.org/wiki/Baker_Hughes","Baker Hughes Company is an American global energy technology company co-headquartered in Houston, Texas and London, UK. As one of the world's largest oil field services, industrial and energy technology companies, it provides products and services to the oil and gas industry for exploration and production, as well as other energy and industrial applications. It operates in over 120 countries, with facilities in Australia, Brazil, Singapore, Malaysia, India, Dubai, Saudi Arabia, Italy, Germany, Norway, the United Kingdom and the United States."
"57","BALL","Ball Corporation","https://en.wikipedia.org/wiki/Ball_Corporation","Ball Corporation is an American aluminum manufacturing company headquartered in Westminster, Colorado. It is best known for its early production of glass jars, lids, and related products used for home canning. Since its founding in Buffalo, New York, in 1880, when it was known as the Wooden Jacket Can Company, the Ball company has expanded and diversified into other business ventures, including aerospace technology. It eventually became the world's largest manufacturer of recyclable aluminum packaging for a variety of beverage, home and personal care applications."
"58","BAC","Bank of America","https://en.wikipedia.org/wiki/Bank_of_America","The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered at the Bank of America Corporate Center in Charlotte, North Carolina, with investment banking and auxiliary headquarters in Manhattan. The bank was founded by the merger of NationsBank and Bank of America in 1998. It is the second-largest banking institution in the United States and the second-largest bank in the world by market capitalization, both after JPMorgan Chase. Bank of America is one of the Big Four banking institutions of the United States. and one of eight systemically important financial institutions in the United States. It serves about 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup, and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.
Through mergers, the oldest branch of the Bank of America franchise can be traced to 1784, when Massachusetts Bank was chartered, the first federally chartered joint-stock owned bank in the United States. Another branch of its history goes back to the American-based Bank of Italy, founded by Amadeo Pietro Giannini in 1904, which provided various banking options to Italian immigrants who faced service discrimination. Headquartered in San Francisco, California, Giannini acquired Banca d'America e d'Italia, in 1922 and eventually did business as Bank of America."
"59","BAX","Baxter International","https://en.wikipedia.org/wiki/Baxter_International","Baxter International Inc. is an American multinational healthcare company with headquarters in Deerfield, Illinois."
"60","BDX","Becton Dickinson","https://en.wikipedia.org/wiki/BD_(company)","Becton, Dickinson and Company is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain areas."
"61","BRK.B","Berkshire Hathaway","https://en.wikipedia.org/wiki/Berkshire_Hathaway","Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska. Originally a textile manufacturer, the company transitioned into a conglomerate starting in 1965 under the management of chairman and CEO Warren Buffett and vice chairman Charlie Munger. Greg Abel now oversees most of the company's investments and has been named as Buffett's successor. Buffett personally owns 38.4% of the Class A voting shares of Berkshire Hathaway, representing a 15.1% overall economic interest in the company."
"62","BBY","Best Buy","https://en.wikipedia.org/wiki/Best_Buy","Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. Originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music, it was rebranded under its current name with an emphasis on consumer electronics in 1983."
"63","TECH","Bio-Techne","https://en.wikipedia.org/wiki/Bio-Techne","Bio-Techne Corporation is an American life sciences company that develops, manufactures and sells life science reagents, instruments and services for the research, diagnostic, and bioprocessing markets."
"64","BIIB","Biogen","https://en.wikipedia.org/wiki/Biogen","Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, United States specializing in the treatment of neurological diseases. The company's primary products are dimethyl fumarate (Tecfidera), diroximel fumarate (Vumerity), interferon beta-1a (AVONEX), peginterferon beta-1a (Plegridy), and natalizumab (Tysabri), all for the treatment of multiple sclerosis ; nusinersen (Spinraza) for the treatment of spinal muscular atrophy ; omaveloxolone (Skyclarys) for the treatment of Friedreich's ataxia ; tofersen (Qalsody) for the treatment of ALS; and dimethyl fumarate (Fumaderm) for the treatment of severe plaque psoriasis. The company also produces 5 biosimilars and has collaborations with Genentech for several drugs."
"65","BLK","BlackRock","https://en.wikipedia.org/wiki/BlackRock","BlackRock, Inc. is an American multinational investment company. Founded in 1988, initially as an enterprise risk management and fixed income institutional asset manager, BlackRock is the world's largest asset manager, with $13.5  trillion in assets under management as of 2025. Headquartered in New York City, BlackRock has 70 offices in 30 countries and clients in 100 countries."
"66","BX","Blackstone Inc.","https://en.wikipedia.org/wiki/Blackstone_Inc.","Blackstone Inc. is an American alternative investment management company based in New York City. It was founded in 1985 as a mergers and acquisitions firm by Peter Peterson and Stephen Schwarzman, who had previously worked together at Lehman Brothers. Blackstone's private equity business has been one of the largest investors in leveraged buyouts in the last three decades, while its real estate business has actively acquired commercial real estate across the globe. Blackstone is also active in credit, infrastructure, hedge funds, secondaries, growth equity, and insurance solutions. As of May 2024, Blackstone has more than $1 trillion in total assets under management, making it the world's largest alternative investment firm."
"67","XYZ","Block, Inc.","https://en.wikipedia.org/wiki/Block,_Inc.","Block, Inc. is an American technology company and a financial services provider for consumers and merchants. Founded in 2009 by Jack Dorsey, it is the U.S. market leader in point-of-sale systems. As of 2024, Block serves 57 million users and 4 million sellers, processing $241 billion in payments annually."
"68","BK","BNY Mellon","https://en.wikipedia.org/wiki/BNY","The Bank of New York Mellon Corporation, commonly known as BNY or by its prior brand name BNY Mellon, is an American international financial services company headquartered in New York City. It was established in its current form in July 2007 by the merger of the Bank of New York and Mellon Financial Corporation. Through the lineage of Bank of New York, which was founded in 1784 by a group that included Alexander Hamilton, BNY is regarded as one of the three oldest banks in the United States and among the oldest in the world. It was the first company listed on the New York Stock Exchange. In 2024, it was ranked 130th on the Fortune 500 list of the largest U.S. corporations by total revenue, and a 2018 Fortune analysis identified it as the oldest company on the list. As of 2024, it was the 13th-largest bank in the United States by total assets and the 83rd-largest in the world. BNY is considered a systemically important financial institution by the Financial Stability Board."
"69","BA","Boeing","https://en.wikipedia.org/wiki/Boeing","The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, and missiles worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers; it is the fourth-largest defense contractor in the world based on 2022 revenue and is the largest exporter in the United States by dollar value. Boeing was founded by William E. Boeing in Seattle, Washington, on July 15, 1916. The present corporation is the result of the merger of Boeing with McDonnell Douglas on August 1, 1997."
"70","BKNG","Booking Holdings","https://en.wikipedia.org/wiki/Booking_Holdings","Booking Holdings Inc. is an American travel technology company incorporated under Delaware General Corporation Law and located on 800 Connecticut Avenue in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda, Kayak, Cheapflights, Rentalcars.com, Momondo, and OpenTable. It operates websites in about 40 languages and 200 countries."
"71","BSX","Boston Scientific","https://en.wikipedia.org/wiki/Boston_Scientific","Boston Scientific Corporation (BSC), is an American biotechnology and biomedical engineering firm and multinational manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology."
"72","BMY","Bristol Myers Squibb","https://en.wikipedia.org/wiki/Bristol_Myers_Squibb","Bristol-Myers Squibb Company is an American multinational pharmaceutical company headquartered in Princeton, New Jersey. The company's primary products are Apixaban (Eliquis) for people with atrial fibrillation ; nivolumab (Opdivo), used to treat certain types of cancer ; lenalidomide (Revlimid), used to treat multiple myeloma, smoldering myeloma, and myelodysplastic syndromes ; abatacept (Orencia), used to treat autoimmune diseases such as rheumatoid arthritis ; pomalidomide (Pomalyst/Imnovid), an anti-cancer medication used for the treatment of multiple myeloma and AIDS-related Kaposi sarcoma ; ipilimumab (Yervoy), to treat cancer ; and luspatercept (Reblozyl) for the treatment of anemia in beta thalassemia and myelodysplastic syndromes. In 2024, 71% of the company's revenues came from the United States."
"73","AVGO","Broadcom","https://en.wikipedia.org/wiki/Broadcom","Broadcom Inc. is an American multinational designer, developer, manufacturer, and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, storage, and industrial markets. As of 2025—amid the AI boom—Broadcom is one of the largest companies globally, and could be considered part of the Big Tech group and the Magnificent Seven, replacing Tesla."
"74","BR","Broadridge Financial Solutions","https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions","Broadridge Financial Solutions, Inc. is a public corporate services and financial technology company. Headquartered in Lake Success, New York, the company was founded in 2007 as a spin-off from Automatic Data Processing. Broadridge supplies companies in the financial industry with financial documents such as proxy statements and annual reports, as well as shareholder communications solutions such as virtual annual meetings."
"75","BRO","Brown & Brown","https://en.wikipedia.org/wiki/Brown_%26_Brown","Brown & Brown, Inc. is an insurance brokerage firm, specialising in risk management. Headquartered in Daytona Beach, Florida, Brown & Brown has 450+ locations worldwide."
"76","BF.B","Brown–Forman","https://en.wikipedia.org/wiki/Brown%E2%80%93Forman","Brown-Forman Corporation is an American family-controlled publicly traded company, one of the largest in the spirits and wine business. Based in Louisville, Kentucky, it manufactures several very well known brands throughout the world, including Jack Daniel's, Old Forester, Woodford Reserve, GlenDronach, BenRiach, Glenglassaugh, Herradura, Korbel, and Chambord. Brown-Forman formerly owned Southern Comfort and Tuaca before selling them off in 2016."
"77","BLDR","Builders FirstSource","https://en.wikipedia.org/wiki/Builders_FirstSource","Builders FirstSource, Inc. is a Fortune 500 company that is a manufacturer and supplier of building materials. The company is headquartered in Irving, Texas, and is the largest supplier of building products, prefabricated components and value-added services in the US. Builders FirstSource employs over 15,000 people throughout the USA. They serve new residential construction, repair and remodeling professionals. The company was incorporated in March 1998. The company has about 550 locations in 40 US states."
"78","BG","Bunge Global","https://en.wikipedia.org/wiki/Bunge_Global","Bunge Global SA (BUN-ghee) is a global agribusiness and food company, incorporated in Geneva, Switzerland and headquartered in St. Louis, Missouri, United States."
